citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
In re O'Connor | 92 S.W.3d 446,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-sa (1)-1.pdf | In re O'Connor, 92 S.W.3d 446 (Tex. 2002)"
In re O.N.H | 401 S.W.3d 681,1,0,1,1,due_process;jurisdiction;notice;federal_court;appeal,"RESEARCH\vLex-Vincent-What-Texas-case-law-supports-1.pdf | retaining the deference an appellate court must have for the factfinder's role.' In re O.N.H., 401 S.W.3d 681, 683 (Tex. App.San Antonio 2013, no pet.)."
In re Office | 193 S.W.3d 690,1,0,1,1,law_enforcement;due_process;ex_parte;notice;temporary_orders,"RESEARCH\vLex-Vincent-1--A-father-was-ordered-out-of-his-home-without-any-findings-and-without-issuing-any-protective-orde-1.pdf | In re Office of Attorney General of Texas, 193 S.W.3d 690 (Tex. App. 2006)"
In re Office | 422 S.W.3d 623,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-NO--322-744263-23---NO--322-744538-23-ITMOMO-Morgan-Michelle-Myers-v-Charles-Dustin-Myers-MOTION-TO--1.pdf | emphasized in In re Office of Attorney Gen., 422 S.W.3d 623, 630 (Tex."
In re P.D.M | 117 S.W.3d 453,1,0,1,1,law_enforcement;due_process;child_support_oag;jurisdiction;notice,"RESEARCH\vLex-Vincent-What-are-the-leading-Texas-cases-interpreting-the--best-interests-of-the-child--standard-in-family-l-1.pdf | In re P.D.M., 117 S.W.3d 453 (Tex. App. 2003)"
In re P.W | 579 S.W.3d 713,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-MANDAMUS-1--JUDGE-KAITCER--1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--1.pdf | In re P.W., 579 S.W.3d 713 (Tex. App. 2019)"
In re Powell | 516 S.W.3d 488,1,0,1,1,recusal;jurisdiction;lockout_eviction;appeal;hearing,"RESEARCH\vLex-Vincent-If-an-objection-is-overruled-1.pdf | the relator seeks to compel involves a ministerial act rather than a discretionary act. In re Powell, 516 S.W.3d 488, 494-95 (Tex. Crim. App. 2017) (orig."
In re R.A.O | 561 S.W.3d 704,1,0,1,1,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent--1-NO--25-0367-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS----------MOTION-FOR-REHEARI-1.pdf | We hold that this order is in error. See In re R.A.O., 561 S.W.3d 704, 710"
In re R.P | 586 S.W.3d 94,1,0,1,1,law_enforcement;federal_court;civil_rights_1983;appeal;property_financial,"RESEARCH\BEST INTERESTS.pdf | seen in Brandon v. Rudisel, 586 S.W.3d 94 (Tex. App. 2019) and In re R.P."
In re Reiter | 404 S.W.3d 607,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-MANDAMUS-1--JUDGE-KAITCER--1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--1.pdf | involving child custody issues.' Id. (quoting In re Reiter, 404 S.W.3d 607, 611"
In re Rodriguez | 940 S.W.2d 265,1,0,1,1,law_enforcement;due_process;child_support_oag;jurisdiction;notice,"RESEARCH\vLex-Vincent-What-are-the-leading-Texas-cases-interpreting-the--best-interests-of-the-child--standard-in-family-l-1.pdf | primary consideration of the court.' In re Rodriguez, 940 S.W.2d 265, 271"
In re S.C | 384 S.W.3d 796,1,0,1,1,law_enforcement;appeal;property_financial;custody;protective_order,"RESEARCH\vLex-Vincent-What-factors-can-a-trial-1.pdf | E.N.C., 384 S.W.3d 796 (Tex. 2012); In re S.C., 04-22-00125-CV (Tex. App. Aug 17, 2022); In re A.A.C. (Tex. App. Oct. 5, 2023); C.L.W. v. R.V.W. (Tex. App."
In re S.M | 389 S.W.3d 483,1,0,1,1,law_enforcement;federal_court;civil_rights_1983;appeal;property_financial,"RESEARCH\BEST INTERESTS.pdf | denied); see In re S.M., 389 S.W.3d 483, 492 (Tex. App.El Paso 2012, no"
In re S.S.J.-J | 153 S.W.3d 132,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\Vlex - Parental Rights-1.pdf | A party seeking conservatorship of a child must have standing to seek such relief. In re S.S.J.-J., 153 S.W.3d 132, 134 (Tex.App.-San Antonio 2004, no pet.)."
In re Sanchez | 228 S.W.3d 214,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\vLex-Vincent-If-a-judge-orders-a-86b9e418-1.pdf | re Walser, 648 S.W.3d 442, 446 (Tex. App.-San Antonio 2021, orig. proceeding); In re Sanchez, 228 S.W.3d 214, 217 (Tex. App.-San Antonio 2007, orig."
In re Sanchez | 648 S.W.3d 442,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\vLex-Vincent-If-a-judge-orders-a-86b9e418-1.pdf | re Walser, 648 S.W.3d 442, 446 (Tex. App.-San Antonio 2021, orig. proceeding); In re Sanchez, 228 S.W.3d 214, 217 (Tex. App.-San Antonio 2007, orig."
In re Sassin | 511 S.W.3d 121,1,0,1,1,law_enforcement;notice;federal_court;appeal;hearing,"RESEARCH\RULE 12.pdf | In re Sassin, 511 S.W.3d 121 (Tex. App. 2014)"
In re Shaw | 175 S.W.3d 901,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-sa-1.pdf | motion within a reasonable time. See In re Shaw, 175 S.W.3d 901, 904 (Tex."
In re Shifflet | 462 S.W.3d 528,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-NO--322-744263-23---NO--322-744538-23-ITMOMO-Morgan-Michelle-Myers-v-Charles-Dustin-Myers-MOTION-TO--1.pdf | quo pending trial. See In re Shifflet, 462 S.W.3d 528, 537 (Tex. App."
In re Shulman | 544 S.W.3d 861,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-sa-1.pdf | In re Shulman, 544 S.W.3d 861 (Tex. App. 2017)"
In re Smith | 260 S.W.3d 568,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\Vlex - Parental Rights-1.pdf | subsequent trial court action void. Id.; In re Smith, 260 S.W.3d 568, 572 (Tex.App.-Houston [14th Dist.] 2008, orig. proceeding)."
In re Smith | 482 S.W.3d 706,1,0,1,1,law_enforcement;recusal;jurisdiction;federal_court;associate_judge,"RESEARCH\vLex-Vincent-Is-a-direct-petition-for-1.pdf | peace. See id.; In re Meyer, 482 S.W.3d 706, 709 (Tex. App.Texarkana 2016, orig. proceeding); In re Smith, 355 S.W.3d 901, 901 (Tex. App.Amarillo 2011,"
In re Southwestern | 235 S.W.3d 619,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-sa-1.pdf | In re Southwestern Bell Telephone Co. L.P., 235 S.W.3d 619 (Tex. 2007)"
In re Sproul | 465 S.W.3d 768,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\TRIAL BY AMBUSH.pdf | Tex., 465 S.W.3d 768 (Tex. App. 2015); In re Sproul, 04-24-00202-CV (Tex."
In re State | 113 S.W.3d 730,1,1,0,1,law_enforcement;due_process;recusal;jurisdiction;lockout_eviction,"CASE DOCS\07.30.25 - first amended MOTION REHEARING.pdf | administration of justice. In In re State Bar of Texas, 113 S.W.3d 730 (Tex. 2003),"
In re State | 148 S.W.3d 124,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-sa-1.pdf | In re Prudential Ins. Co. of America, 148 S.W.3d 124 (Tex. 2003); In re State,"
In re State | 275 S.W.3d 458,1,1,0,1,law_enforcement;due_process;recusal;jurisdiction;lockout_eviction,"CASE DOCS\07.30.25 - first amended MOTION REHEARING.pdf | McAllen Medical Center, Inc., 275 S.W.3d 458 (Tex. 2008) and In re State, 355"
In re State | 327 S.W.3d 750,1,0,1,1,federal_court;associate_judge;appeal;hearing;property_financial,"RESEARCH\vLex-Vincent-If-someone-pleads-no-contest-to-a-speeding-ticket-in-Texas--what-are-some-lesser-known-legal-strateg-1.pdf | 327 S.W.3d 750 (Tex. App. 2010) was limited by In re State, 489 S.W.3d"
In re State | 391 S.W.3d 117,1,0,1,1,law_enforcement;due_process;recusal;notice;jurisdiction,"RESEARCH\vLex-Vincent---1--The-Respondent--Charles-Dustin-Myers--filed-a-motion-to-recuse-the-Regional-Presiding-Judge--Da-1.pdf | complete a ministerial act. See In re State ex rel. Weeks, 391 S.W.3d 117,"
In re State | 466 S.W.3d 783,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-MANDAMUS-1--JUDGE-KAITCER--1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--1.pdf | State v. Naylor (In re State), 466 S.W.3d 783 (Tex. 2015)"
In re State | 537 S.W.3d 312,1,0,1,1,recusal;ex_parte;notice;hearing;mandamus,"RESEARCH\vLex-Vincent-The-regional-presiding-judge-has (1)-1.pdf | In re State ex rel. Wice, 537 S.W.3d 312, 317 (Tex. Crim. App. 2017); Ex parte Thuesen, 546 S.W.3d 145 (Tex. Crim. App. 2017)."
In re State | 546 S.W.3d 145,1,0,1,1,recusal;ex_parte;notice;hearing;mandamus,"RESEARCH\vLex-Vincent-The-regional-presiding-judge-has (1)-1.pdf | In re State ex rel. Wice, 537 S.W.3d 312, 317 (Tex. Crim. App. 2017); Ex parte Thuesen, 546 S.W.3d 145 (Tex. Crim. App. 2017)."
In re State | 556 S.W.3d 821,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | (orig. proceeding); see also In re State, 556 S.W.3d 821, 827 (Tex. 2018)"
In re State | 618 S.W.3d 361,1,0,1,1,law_enforcement;due_process;recusal;notice;jurisdiction,"RESEARCH\vLex-Vincent---1--The-Respondent--Charles-Dustin-Myers--filed-a-motion-to-recuse-the-Regional-Presiding-Judge--Da-1.pdf | compelled is purely ministerial. In re State ex rel. Ogg, 618 S.W.3d 361, 363"
In re T.L.K | 90 S.W.3d 833,1,0,1,1,law_enforcement;ex_parte;jurisdiction;notice;temporary_orders,"RESEARCH\OAG IMPROPER ARREARS.pdf | In re T.L.K., 90 S.W.3d 833 (Tex. App. 2002)"
In re Tasby | 40 S.W.3d 190,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-sa-1.pdf | App.-Texarkana 2005, orig. proceeding); In re Tasby, 40 S.W.3d 190, 191"
In re Tex | 255 S.W.3d 613,1,0,1,1,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-What-are-the-broader-implications-1.pdf | requirement for mandamus relief. See In re Tex. Dep't of Family & Protective Servs., 255 S.W.3d 613, 614 (Tex.2008) (orig. proceeding); In re Allen, 359 S.W.3d"
In re The | 695 S.W.3d 675,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | cause (Powell v. Fletcher, 695 S.W.3d 675 (Tex. App. 2024); In re The"
In re Union | 248 S.W.3d 164,1,0,1,1,recusal;jurisdiction;lockout_eviction;appeal;hearing,"RESEARCH\vLex-Vincent-If-an-objection-is-overruled-1.pdf | Under the general rule established in In re Union Pacific Resources Co., 969 S.W.2d 427 (Tex. 1998) and reaffirmed in In re McKee, 248 S.W.3d 164 (Tex."
In re United | 307 S.W.3d 299,1,0,1,1,ex_parte;jurisdiction;notice;temporary_orders;lockout_eviction,"RESEARCH\vLex-Vincent-How-does-a-party-file-1.pdf | a court cannot render a binding judgment concerning matters over which it lacks subject-matter jurisdiction. See In re United Servs. Auto. Ass'n, 307 S.W.3d 299,"
In re W.C.B | 337 S.W.3d 510,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\Vlex - Parental Rights-1.pdf | arbitrarily and unreasonably without reference to guiding principles. In re H.N.T., 367 S.W.3d at 903;In re W.C.B., 337 S.W.3d 510, 513 (Tex.App.-Dallas 2011, no"
In re W.L.W | 370 S.W.3d 799,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-NO--322-744263-23---NO--322-744538-23-ITMOMO-Morgan-Michelle-Myers-v-Charles-Dustin-Myers-MOTION-TO--1.pdf | lacks subject-matter jurisdiction. See In re W.L.W., 370 S.W.3d 799, 807 (Tex."
In re Wagner | 560 S.W.3d 309,1,1,0,1,law_enforcement;due_process;recusal;child_support_oag;notice,"CASE DOCS\07.28.25 - MOTION FOR REHEARING.pdf | not have an adequate appellate remedy. In re Wagner, 560 S.W.3d 309, 314 (Tex."
In re Walker | 265 S.W.3d 545,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-MANDAMUS-1--JUDGE-KAITCER--1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--1.pdf | In re Walker, 265 S.W.3d 545 (Tex. App. 2008)"
In re Walters | 276 S.W.3d 592,1,0,1,1,law_enforcement;due_process;recusal;notice;jurisdiction,"RESEARCH\vLex-Vincent---1--The-Respondent--Charles-Dustin-Myers--filed-a-motion-to-recuse-the-Regional-Presiding-Judge--Da-1.pdf | circumstances (In re Walters, 2022; In re Alpert, 276 S.W.3d 592 (Tex. App."
In re Y.B | 300 S.W.3d 1,1,1,0,1,due_process;jurisdiction;federal_court;property_financial;custody,"CASE DOCS\06.20.24 Motion to Signx2-1.pdf | one of constitutional dimensions. In re Y.B., 300 S.W.3d 1 (Tex. App. 2009)(quoting"
Inc. v. Abdula | 652 F. Supp. 437,1,0,1,1,law_enforcement;jurisdiction;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-The-mother--with-the-assistance-of-her-stepfather--engaged-in-a-series-of-coordinated-actions--inclu-1.pdf | HG Gallimore, Inc. v. Abdula, 652 F. Supp. 437 (N.D. Ill. 1987)"
Inc. v. Adams | 897 F.2d 183,1,0,1,1,law_enforcement;due_process;notice;jurisdiction;rico,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | Howell Hydrocarbons, Inc. v. Adams, 897 F.2d 183, 191 (5th Cir. 1991)."
Inc. v. Albright | 862 F.2d 1388,1,0,1,1,notice;rico;lockout_eviction;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-The-complaint-details-a-coordinated-scheme-by-Myers--Branthoover--and-Wilson--including-specific-dat-1.pdf | stand-alone claim. See Alan Neuman Prods., Inc. v. Albright, 862 F.2d 1388,"
Inc. v. American | 747 F.2d 384,1,0,1,1,notice;rico;lockout_eviction;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-The-complaint-details-a-coordinated-scheme-by-Myers--Branthoover--and-Wilson--including-specific-dat-1.pdf | Haroco, Inc. v. American Nat. Bank and Trust Co. of Chicago, 747 F.2d 384"
Inc. v. Boldt | 274 F.3d 38,1,0,1,1,law_enforcement;jurisdiction;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent--The-court-s-order-did-not-fully-address-the-ongoing-nature-of-the-enterprise--the-risk-of-further-p-1.pdf | money); ... N. Bridge Assoc., Inc. v. Boldt, 274 F.3d 38, 42 (1st Cir. 2001)"
Inc. v. Bruce | 998 S.W.2d 605,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (2)-1.pdf | distress was severe."" (GTE Southwest, Inc. v. Bruce, 998 S.W.2d 605, 611"
Inc. v. Council | 491 U.S. 350,1,0,1,1,law_enforcement;ex_parte;jurisdiction;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-03d92fa3-1.pdf | Public Serv., Inc. v. Council of City of New Orleans, 491 U.S. 350, 109 S.Ct."
Inc. v. Dick | 872 F.2d 347,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Plaintiff-s-allegations-describe-a-scheme-with-multiple-steps--ongoing-coordination--and-repeated-ac-1.pdf | Oklahoma, 872 F.2d 347 (10th Cir. 1989) and Torwest DBC, Inc. v. Dick, 810"
Inc. v. Enright | 577 F. Supp. 339,1,0,1,1,jurisdiction;notice;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-mail-fraud-in-a-RICO-suit-against-his-spouse--hi-1.pdf | BF Hirsch, Inc. v. Enright Refining Co., 577 F. Supp. 339 (D. N.J. 1983)"
Inc. v. Gordon | 629 S.W.3d 649,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | Star Inc. v. Gordon, 629 S.W.3d 649, 658 (Tex. App.-San Antonio 2021, no"
Inc. v. Gramco | 71 F.3d 518,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (7)-1.pdf | racketeering acts. Heller Fin. Inc. v. Gramco Computer Sales, 71 F.3d 518,"
Inc. v. Hatfield | 436 F.3d 1228,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | keeping. Australian Gold, Inc. v. Hatfield, 436 F.3d 1228, 1242 (10th Cir."
Inc. v. Int'l | 862 F.2d 1213,1,0,1,1,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.pdf | Enters., Inc. v. Int'l Coffee Corp., 862 F.2d 1213, 1217 (5th Cir.1989). Thus, a"
Inc. v. John | 782 F.2d 883,1,0,1,1,jurisdiction;notice;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-What-must-a-plaintiff-show-in-the-10th-Circuit-to-obtain-summary-judgment-on-a-RICO-claim--1.pdf | L.Ed.2d 346 (1985); Plains Resources, Inc. v. John R. Gable, 782 F.2d 883,"
Inc. v. Jones | 192 S.W.3d 581,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | Am. Flood Rsch., Inc. v. Jones, 192 S.W.3d 581, 583 (Tex. 2006)."
Inc. v. Kiewit | 976 F.2d 1303,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour-1.pdf | Imagineering, Inc. v. Kiewit Pac. Co., 976 F.2d 1303, 1310 (9th Cir.1992). It"
Inc. v. Law | 985 S.W.2d 262,1,0,1,1,due_process;notice;fraud_perjury;appeal;hearing,"RESEARCH\FAILURE TO RESPOND.pdf | CherCo Properties, Inc. v. Law, Snakard & Gambill, P.C., 985 S.W.2d 262"
Inc. v. Makita | 34 F.3d 1321,1,0,1,1,law_enforcement;notice;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-The-wife-has-not-responded-to-or-defended-against-the-husband-s-claims-in-the-divorce-proceedings--a-1.pdf | In Jepson, Inc. v. Makita Corp., 34 F.3d 1321 (7th Cir.1994), the Seventh"
Inc. v. Makor | 938 F.3d 724,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (8)-1.pdf | Dist., 938 F.3d 724, 735 (5th Cir. 2019); accord Tellabs, Inc. v. Makor Issues"
Inc. v. Marcus | 429 S.W.3d 762,1,0,1,1,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\HIDING DOCUMENTS FROM PUBLIC.pdf | Oryon Techs., Inc. v. Marcus, 429 S.W.3d 762 (Tex. App. 2014)"
Inc. v. Office | 465 S.W.3d 768,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\TRIAL BY AMBUSH.pdf | Target Logistics, Inc. v. Office of the Attorney Gen. of Tex., 465 S.W.3d 768"
Inc. v. Rodriguez | 92 S.W.3d 502,1,0,1,1,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | movant. Wal-Mart Stores, Inc. v. Rodriguez, 92 S.W.3d 502, 506 (Tex.2002);"
Inc. v. Rubio | 185 S.W.3d 842,1,0,1,1,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | Diversicare General Partner, Inc. v. Rubio, 185 S.W.3d 842 (Tex. 2005)"
Inc. v. SFHC | 584 F.3d 859,1,0,1,1,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-18-Filed-06-30-25-Page-1-of-5-FILED-JUN-3-D-2025-IN-THE-UNITED-STATES--389ccc19-1.pdf | 584 F.3d 859, 867 (10th Cir. 2009); Sil-Flo, Inc. v. SFHC, Inc., 917 F.2d 1507,"
Inc. v. Sec | 207 S.W.3d 835,1,0,1,1,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-The-judge-issued-orders-on-a-day-the-court-was-publicly-closed--without-a-hearing--and-without-juris-1.pdf | Corps., Inc. v. Sec. Storage, Inc., 207 S.W.3d 835, 838 (Tex. App.-Houston"
Inc. v. TXU | 565 F.3d 200,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (2)-1.pdf | Income Fund, Inc. v. TXU Corp., 565 F.3d 200, 212-13 (5th Cir. 2009)"
Inc. v. Texas | 439 F.3d 653,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char-1.pdf | Kansas, Inc. v. Texas Indus., Inc., 439 F.3d 653, 668 (10th Cir. 2006)."
Inc. v. U.S | 837 F.2d 356,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-For-a-civil-RICO-claim-to-prevail--is-it-a-requirement-to-have-multiple-victims--or-are-there-except-1.pdf | Committee, Inc. v. U.S. Energy Management Systems, Inc., 837 F.2d 356 (9th"
Ince v. Ince | 767 S.W.2d 700,1,0,1,1,law_enforcement;due_process;ex_parte;notice;temporary_orders,"RESEARCH\vLex-Vincent-1--A-father-was-ordered-out-of-his-home-without-any-findings-and-without-issuing-any-protective-orde-1.pdf | Pasadena, 767 S.W.2d 700, 702 (Tex.1989); Ince v. Ince, 58 S.W.3d 187, 190"
Indus. v. Arvin | 939 F.2d 887,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-What-constitutes-an-enterprise-under-RICO-in-the-10th-Circuit--1.pdf | Bacchus Indus. v. Arvin Indus., 939 F.2d 887, 891 (10th Cir.1991). A RICO"
Inv. v. Nationwide | 798 F. Supp. 2d 811,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (2)-1.pdf | 2017); SHS Inv. v. Nationwide Mut. Ins. Co., 798 F. Supp. 2d 811, 815 (S.D."
Jackson v. Nat'l | 802 F.3d 665,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour-1.pdf | 3d 602; Allstate Ins. Co. v. Plambeck, 802 F.3d 665; Jackson v. Nat'l Ass'n for"
Jackson v. North | 857 S.W.2d 819,1,0,1,1,law_enforcement;due_process;jurisdiction;notice;federal_court,"RESEARCH\vLex-Vincent-Can-a-divorce-case-be-1.pdf | Other appellate decisions, including Jackson v. North Forest Indep. Sch. Dist., No. 01-10-00010-CV (Tex. App. Jan. 26, 2012), Brewer v. Collins, 857 S.W.2d 819"
Jacksonville v. Bellsouth | 372 F.3d 1250,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Plaintiff-s-allegations-describe-a-scheme-with-multiple-steps--ongoing-coordination--and-repeated-ac-1.pdf | Jacksonville v. Bellsouth Telecomm., 372 F.3d 1250, 1265 (11th Cir.2004)"
Jacobs v. Dobrei | 991 S.W.2d 462,1,0,1,1,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\Vlex - Parental Rights-1.pdf | 901, 903 (Tex.App.-Dallas 2012, no pet.); Jacobs v. Dobrei, 991 S.W.2d 462, 463 (Tex.App.-Dallas 1999, no pet.). A trial court abuses its discretion when it acts"
Jacobson v. Merrill | 797 F.2d 1197,1,0,1,1,law_enforcement;recusal;ex_parte;jurisdiction;rico,"RESEARCH\vLex-Vincent--Plaintiff-alleges-a-coordinated-scheme-involving-multiple-defendants--Myers--Branthoover--Carter--B-1.pdf | Jacobson v. Merrill Lynch, Pierce, Fenner & Smith, Inc., 797 F.2d 1197"
