citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
Science v. Neschis,1,0,1,1,law_enforcement;jurisdiction;rico;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff------v-1.pdf | continuity. In Weizmann Institute of Science v. Neschis,... several"
Segal v. Southern,1,0,1,1,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | Segal v. Southern County Mut. Ins. Co., 832 S.W.2d 617 (Tex. App. 1992)"
Selph v. Tedrow,1,0,1,1,law_enforcement;ex_parte;jurisdiction;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-03d92fa3-1.pdf | Selph v. Tedrow, No. CV 17-00410 JCH/SCY (D. N.M. Feb 21, 2018)"
Servs. v. Michael,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour-1.pdf | Solutions Shared Servs. v. Michael Jimenez, & Glasheen, Valles, & Inderman,"
Servs. v. Modec,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (10)-1.pdf | conflicts in favor of the plaintiff.' Braspetro Oil Servs. v. Modec (USA), Inc.,"
Shaps v. Union,1,0,1,1,due_process;recusal;notice;jurisdiction;temporary_orders,"RESEARCH\vLex-Vincent-The-Petitioner-and-her-attorney-allegedly-secured-temporary-orders-through-fraudulent-misrepresentat-1.pdf | the questions as to fraud Shaps v. Union Commerce Bank, 476 S.W.2d 466"
Shargian v. Shargian,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (8)-1.pdf | Shargian v. Shargian
Sharma v. NVIDIA,1,0,1,1,law_enforcement;jurisdiction;notice;rico;lockout_eviction,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.pdf | Sharma v. NVIDIA Corp.
Silverstein v. Percudani,1,0,1,1,law_enforcement;notice;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-The-wife-has-not-responded-to-or-defended-against-the-husband-s-claims-in-the-divorce-proceedings--a-1.pdf | Silverstein v. Percudani, 422 F.Supp.2d 468 (M.D. Pa. 2006)"
Sims v. State,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-NO--322-744263-23---NO--322-744538-23-ITMOMO-Morgan-Michelle-Myers-v-Charles-Dustin-Myers-MOTION-TO--1.pdf | accorded the decision in Sims v. State Department of Public Welfare, supra;"
Sissom v. University,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (10)-1.pdf | for the RICO claims asserted in this action. See Sissom v. University of Texas
Smith v. Ayres,1,0,1,1,law_enforcement;due_process;jurisdiction;notice;rico,"RESEARCH\vLex-Vincent-IV--INTRODUCTION--1--This-matter-highlights-an-egregious-and-malicious-series-of-actions-taken-by-th-1.pdf | communication must be interstate. Smith v. Ayres, 845 F.2d 1360, 1366 (5th"
Smith v. McDaniel,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-NO--322-744263-23---NO--322-744538-23-ITMOMO-Morgan-Michelle-Myers-v-Charles-Dustin-Myers-MOTION-TO--1.pdf | children. See Smith v. McDaniel, 842 S.W.2d 7, 12 (Tex. App.Dallas 1992,"
Smith v. Southwest,1,0,1,1,law_enforcement;notice;appeal;hearing;sanctions_contempt,"RESEARCH\NO DISCLOSURE OF TESTIMONY.pdf | Smith v. Southwest Feed Yards, 835 S.W.2d 89 (Tex. 1992)"
Smith v. United,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent--The-FAC-specifically-pleads-ongoing-communications--threats--and-a-continuing-enterprise-with-a-ris-1.pdf | (quoting Smith v. United States, 561 F.3d 1090, 1098 (10th Cir. 2009))."
Soto-Ruphuy v. Yates,1,0,1,1,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-What-are-the-broader-implications-1.pdf | Soto-Ruphuy v. Yates, 687 S.W.2d 19 (Tex. App. 1984)"
Sparks v. Tex,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (8)-1.pdf | in the plaintiff's complaint and are central to the claims. See Sparks v. Tex.
Spence v. Basic,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-How-does-the-10th-Circuit-distinguish-between-the-person-and-the-enterprise-under-RICO--1.pdf | Spence v. Basic Research, No. 2:16-CV-925-CW, 2018 WL 1997310, at *2 (D."
Spitz v. Bache,1,0,1,1,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | Spitz v. Bache & Co., 122 Ariz. 530, 531, 596 P.2d 365, 366 (1979) (adopting"
Sprewell v. Golden,1,0,1,1,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain (1)-1.pdf | inferences.' Sprewell v. Golden State Warriors, 266 F.3d 979, 988 (9th Cir."
Stacey v. Shadd,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | Stacey v. Shadd, NO. 03-20-00126-CV (Tex. App. Dec 23, 2020)"
Stafford v. State,1,0,1,1,law_enforcement;recusal;ex_parte;jurisdiction;fraud_perjury,"RESEARCH\regional_retired_judges.pdf | Stafford v. State, 948 S.W.2d 921 (Tex. App. 1997)"
State v. Cartwright,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | Attorney General of Texas on Behalf of State v. Cartwright, 874 S.W.2d 210"
State v. Clark,1,0,1,1,due_process;notice;jurisdiction;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-If-a-district-judge-takes-up-a-case--makes-an-order--without-a-hearing-or-hearing-evidence--and-depr (1)-1.pdf | State v. Clark, 187 S.W. 760, 79 Tex.Crim. 559 (Tex. Crim. App. 1915)"
State v. Ferguson,1,0,1,1,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-The-judge-issued-orders-on-a-day-the-court-was-publicly-closed--without-a-hearing--and-without-juris-1.pdf | State v. Ferguson, 133 Tex. 60, 125 S.W.2d 272 (1939), when the order is"
State v. Herndon,1,0,1,1,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-There-is-a-documented-pattern-of-the-court-ignoring-or-mishandling-pleadings--failing-to-address-cre-1.pdf | State v. Herndon, 215 S.W.3d 901, 907 (Tex.Crim.App.2007) (noting that trial"
State v. Linney,1,0,1,1,due_process;notice;fraud_perjury;appeal;hearing,"RESEARCH\FAILURE TO RESPOND.pdf | Carolina case (State v. Linney, 138 N.C. App. 169, 531 S.E.2d 245 (N.C. App."
State v. Naylor,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-MANDAMUS-1--JUDGE-KAITCER--1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--1.pdf | State v. Naylor (In re State), 466 S.W.3d 783 (Tex. 2015)"
State v. Patrick,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-MANDAMUS-1--JUDGE-KAITCER--1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--1.pdf | indisputable right to the relief sought.' State v. Patrick, 86 S.W.3d 592, 594"
State v. Walker,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-MANDAMUS-1--JUDGE-KAITCER--1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--1.pdf | discretion or a violation of a clear duty under the law.' State v. Walker, 679"
State v. Wright,1,0,1,1,jurisdiction;notice;lockout_eviction;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-What-constitutes--fraud-on-the-court--in-Texas--and-what-are-the-available-remedies-if-proven-in-a-d-1.pdf | one did not know of the suit or was betrayed by his attorney. State v. Wright,"
States v. Adoma,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-The-complaint-assigns-distinct-roles-to-each-defendant--Myers-as-drafter-and-beneficiary-of-false-do-1.pdf | United States v. Adoma, No. 18-4362, No. 18-4364, No. 18-4382 (4th Cir. Jul"
States v. Agripac,1,0,1,1,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | United States v. Agripac, Inc."
States v. Applins,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.pdf | 'centers on the act of agreement.' United States v. Applins, 637 F.3d 59, 81"
States v. Arrington,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.pdf | affairs through a pattern of racketeering activity.' United States v. Arrington,"
States v. Autuori,1,0,1,1,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.pdf | the scheme. See United States v. Autuori, 212 F.3d 105, 115 (2d Cir.2000);"
States v. Benabe,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.pdf | commit two predicate acts himself.' United States v. Benabe, 654 F.3d 753,"
States v. Bollin,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-exchanged-numerous-interstate-text-messages-and-emails--and-submitt-1.pdf | in furtherance of that scheme.' United States v. Bollin, 264 F.3d 391, 407"
States v. Boutte,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TIMELINE-OF-EVENTS-BACKGROUND-Morgan-Michelle-Myers----Myers---and-Charles-Dustin-Myers----Plaintiff-902c4461-1.pdf | United States v. Boutte, 1:17-cr-3338-JMC (D. N.M. Mar 02, 2023)"
States v. Bright,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (4)-1.pdf | commission of two or more predicate crimes."" United States v. Bright, 630 F."
States v. Brooklier,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-The-complaint-assigns-distinct-roles-to-each-defendant--Myers-as-drafter-and-beneficiary-of-false-do-1.pdf | contemplates. As the Ninth Circuit explained in United States v. Brooklier,"
States v. Campbell,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-If-a-defendant-in-oklahoma-conspires-with-someone-s-wife-in-texas-to-defraud-the-husband-of-his-prop-1.pdf | achieve it); United States v. Campbell, 64 F.3d 967, 975-76 (5th Cir. 1995)"
States v. Capers,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.pdf | United States v. Capers, 20 F.4th 105 (2nd Cir. 2021)"
States v. Carmona-Garza,1,0,1,1,jurisdiction;notice;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-The-relevant-statute-or-local-rule-limits-the-authority-of-associate-judges-to-conduct-initial-heari-1.pdf | United States v. Carmona-Garza, CASE NO. 9:20CR22-4 (E.D. Tex. Jan 19,"
States v. Carson,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent--TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcou-1.pdf | under this statute in a RICO suit. United States v. Carson, 52 F.3d 1173,"
States v. Castile,1,0,1,1,jurisdiction;notice;rico;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-The-mother-and-stepfather-acted-with-the-intent-to-deceive-and-gain-an-unfair-advantage-in-divorce-p-1.pdf | way on the charged mailing.' United States v. Castile, 795 F.2d 1273, 1278"
States v. City,1,0,1,1,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | S.Ct. 73, 93 L.Ed.2d 29 (1986); United States v. City of Twin Falls, 806 F.2d"
States v. Coleman,1,0,1,1,jurisdiction;notice;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-The-relevant-statute-or-local-rule-limits-the-authority-of-associate-judges-to-conduct-initial-heari-1.pdf | United States v. Coleman, CASE NO. 1:17CR154-1 (E.D. Tex. Sep 10, 2018)"
States v. Collins,1,0,1,1,jurisdiction;notice;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-The-relevant-statute-or-local-rule-limits-the-authority-of-associate-judges-to-conduct-initial-heari-1.pdf | United States v. Collins, CASE NO. 1:18CR80-2 (E.D. Tex. May 09, 2019)"
States v. Copple,1,0,1,1,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-wire-fraud-in-a-RICO-suit-against-his-spouse--hi-1.pdf | U.S.C. Sec. 1341 (1988 & Supp. III 1993); United States v. Copple, 24 F.3d"
States v. Corrado,1,0,1,1,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-agreed-to-work-together-to-defraud-Plaintiff-and-deprive-him-of-his-1.pdf | specific act' in carrying it forward.' United States v. Corrado, 227 F.3d 543,"
States v. Cos,1,0,1,1,law_enforcement;jurisdiction;rico;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff------v-1.pdf | (1991); also cited in United States v. Cos, 498 F.3d 1115, 1123 n.2 (10th Cir."
States v. Cozzetti,1,0,1,1,law_enforcement;jurisdiction;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-Defendant-Myers-traveled-from-Texas-to-Oklahoma-to-meet-with-Branthoover--where-they-prepared-fraudu-1.pdf | Cf. United States v. Cozzetti, 441 F.2d 344, 348 (9th Cir. 1971) (fact that"
States v. Crosby,1,0,1,1,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Defendants-engaged-in-at-least-two-predicate-acts--wire-fraud--money-laundering--obstruction--etc----1.pdf | year period. United States v. Crosby, 20 F.3d 480, 481 (D.C.Cir.1994). The"
States v. Cueto,1,0,1,1,law_enforcement;jurisdiction;rico;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-Morgan-Michelle-Myers-and-Daniel-Kenneth-Branthoover-engaged-in-multiple-acts--including-preparing-f-1.pdf | requirement for obstruction of justice""; United States v. Cueto, 151 F.3d 620,"
States v. D'Amato,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-exchanged-numerous-interstate-text-messages-and-emails--and-submitt-1.pdf | States v. D'Amato, 39 F.3d 1249, 1256 57 (2d Cir. 1994), (ii) the requisite"
States v. Deckard,1,0,1,1,jurisdiction;notice;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-The-relevant-statute-or-local-rule-limits-the-authority-of-associate-judges-to-conduct-initial-heari-1.pdf | United States v. Deckard, CASE NO. 9:18CR19 (E.D. Tex. Nov 07, 2019)"
States v. Dinome,1,0,1,1,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.pdf | United States v. Dinome, 86 F.3d 277, 283 (2d Cir.1996)."
States v. Dula,1,0,1,1,law_enforcement;due_process;notice;jurisdiction;rico,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | scheme. United States v. Dula, 989 F.2d 772, 778 (5th Cir.), cert. denied, ---"
States v. Durham,1,0,1,1,jurisdiction;notice;rico;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-The-mother-and-stepfather-acted-with-the-intent-to-deceive-and-gain-an-unfair-advantage-in-divorce-p-1.pdf | States v. Durham, 766 F.3d 672, 678 (7th Cir.2014). ... Yet, the federal wire"
States v. Elliot,1,0,1,1,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-Answer-Short-response-The-factual-allegations--if-proven--describe-a-coordinated-and-ongoing-scheme--1.pdf | States v. Elliot, 571 F.2d 880, 889 n.23 (5th Cir. 1978). Here, the record"
States v. Eufrasio,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-The-complaint-assigns-distinct-roles-to-each-defendant--Myers-as-drafter-and-beneficiary-of-false-do-1.pdf | States v. Eufrasio, 935 F.3d 553, 577 n.29 (3d Cir. 1991)."
States v. Falcone,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (4)-1.pdf | conspirators to effect the object of the conspiracy. United States v. Falcone,"
States v. Felix,1,0,1,1,rico;lockout_eviction;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.pdf | conspiracy are both proved. See United States v. Felix, 503 U.S. 378, 389-90"
States v. Fenton,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-If-a-defendant-in-oklahoma-conspires-with-someone-s-wife-in-texas-to-defraud-the-husband-of-his-prop-1.pdf | essential element of crime of conspiracy). (20.) E.g., United States v. Fenton,"
States v. Frey,1,0,1,1,jurisdiction;notice;rico;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-The-mother-and-stepfather-acted-with-the-intent-to-deceive-and-gain-an-unfair-advantage-in-divorce-p-1.pdf | Similarly, in United States v. Frey, 42 F.3d 795 (3rd Cir. 1994), the court"
States v. Garcia-Emanuel,1,0,1,1,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Myers-transferred--1-576-from-a-joint-marital-account-to-Branthoover-s-PayPal-account--and-used-thos-1.pdf | conviction under [section] 1956. (141) ... United States v. Garcia-Emanuel,"
States v. Gaudin,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | prior conflicting precedent in United States v. Gaudin(46) in addressing
States v. Gibson,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (5)-1.pdf | 875 F.3d 179 United States v. Gibson
States v. Gold,1,0,1,1,rico;fraud_perjury;federal_court;property_financial;custody,"RESEARCH\vLex-Vincent-The-goal-of-the-scheme-was-to-deceive-the-Texas-courts-and-remove-Morgan-s-husband-from-the-family-h-1.pdf | convict of mail fraud); United States v. Gold Unlimited, Inc., 177 F.3d 472,"
States v. Grant,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (5)-1.pdf | mere inference or supposition. United States v. Grant, 683 F.3d 639, 642"
States v. Grubb,1,0,1,1,law_enforcement;due_process;jurisdiction;notice;rico,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS-------1.pdf | enterprise's affairs is required.' Id.; see also United States v. Grubb, 11 F.3d"
States v. Halbert,1,0,1,1,jurisdiction;notice;rico;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-The-mother-and-stepfather-acted-with-the-intent-to-deceive-and-gain-an-unfair-advantage-in-divorce-p-1.pdf | wire fraud offense. See United States v. Halbert, 712 F.2d 388, 390 (9th Cir."
States v. Hasson,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-coordinated-and-planned-the-fraudulent-acts--including-wire-fraud---1.pdf | defraud.' United States v. Hasson, 333 F.3d 1264, 1270 (11th Cir. 2003)."
States v. Herron,1,0,1,1,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-wire-fraud-in-a-RICO-suit-against-his-spouse--hi-1.pdf | (1989); United States v. Herron, 825 F.2d 50, 53-54 (5th Cir.1987). In"
States v. Hougham,1,0,1,1,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | 227, 9 L.Ed.2d 222 (1962); see United States v. Hougham, 364 U.S. 310,"
States v. Huber,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Morgan-Michelle-Myers--Margie-Evonne-Wilson--and-Danielle-Kenneth-Branthoover-acted-together-with-a--1.pdf | definition of the term enterprise.); United States v. Huber, 603 F.2d 387"
States v. Hughes,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-If-a-defendant-in-oklahoma-conspires-with-someone-s-wife-in-texas-to-defraud-the-husband-of-his-prop-1.pdf | fraud); United States v. Hughes Aircraft Co., 20 F.3d 974, 978-79 (9th Cir."
States v. Humphrey,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (10)-1.pdf | United States v. Humphrey, 104 F.3d 65, 70 n.3 (5th Cir. 1997); Landry v. Air"
States v. Iacaboni,1,0,1,1,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Myers-transferred--1-576-from-a-joint-marital-account-to-Branthoover-s-PayPal-account--and-used-thos-1.pdf | disguise' the nature of the money. See, e.g., United States v. Iacaboni, 221 F."
States v. Imo,1,0,1,1,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (5)-1.pdf | United States v. Imo, 739 F.3d 226 (5th Cir. 2014)"
States v. Iossifov,1,0,1,1,law_enforcement;due_process;jurisdiction;rico;fraud_perjury,"RESEARCH\vLex-Vincent-Evaluate-the-viability-of-the-complaint-filed-by-Charles-Dustin-Myers-under-the-Racketeer-Influenced-1.pdf | United States v. Iossifov, 45 F.4th 899 (6th Cir. 2022)"
States v. Jimenez,1,0,1,1,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-coordinated-and-planned-the-fraudulent-acts--including-wire-fraud---1.pdf | United States v. Jimenez Recio, 537 U.S. 270 (2003)"
States v. Keller,1,0,1,1,law_enforcement;due_process;notice;jurisdiction;rico,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | scheme. See, e.g., United States v. Keller, 14 F.3d 1051, 1056 (5th Cir. 1994)"
States v. Killip,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-is-the-relationship-test-under-RICO-in-the-10th-Circuit--1.pdf | and the enterprise. United States v. Killip, 819 F.2d 1542, 1549 (10th Cir."
States v. Kirk,1,0,1,1,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent--The-FAC-alleges-an-ongoing-enterprise--an-unfulfilled-objective--and-a-real-risk-of-further-predica-1.pdf | States v. Kirk, 844 F.2d 660, 664 (9th Cir.) (predicate acts may constitute"
States v. Kunzman,1,0,1,1,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,RESEARCH\vLex-Vincent-Myers-and-Branthoover-communicated-across-state-lines--Texas-and-Oklahoma--via-text-messages-and-pho-1.pdf | of United States v. Kunzman further supports that the use of interstate
States v. Lamoreaux,1,0,1,1,rico;fraud_perjury;federal_court;property_financial;custody,"RESEARCH\vLex-Vincent-The-goal-of-the-scheme-was-to-deceive-the-Texas-courts-and-remove-Morgan-s-husband-from-the-family-h-1.pdf | and knowledge of false statements). (55.) See United States v. Lamoreaux,"
